id,dayOfWeek,startTime,endTime,slotType,ownerId,classroomIp
59,WEDNESDAY,7:00,7:50,SECTION,47,192.168.1.5
60,WEDNESDAY,7:50,8:40,SECTION,47,192.168.1.5
61,TUESDAY,12:20,13:10,SECTION,48,192.168.1.5
62,TUESDAY,13:10,14:00,SECTION,48,192.168.1.5
63,THURSDAY,12:20,13:10,SECTION,48,192.168.1.5
64,THURSDAY,13:10,14:00,SECTION,48,192.168.1.5
65,FRIDAY,7:00,7:50,SECTION,51,192.168.1.5
66,FRIDAY,7:50,8:40,SECTION,51,192.168.1.5
67,FRIDAY,8:50,9:40,SECTION,51,192.168.1.5
68,FRIDAY,11:30,12:20,SECTION,52,192.168.1.5
69,FRIDAY,12:20,13:10,SECTION,52,192.168.1.5
70,FRIDAY,13:10,14:00,SECTION,52,192.168.1.5
71,TUESDAY,7:50,8:40,SECTION,43,192.168.1.5
72,TUESDAY,8:50,9:40,SECTION,43,192.168.1.5
73,THURSDAY,10:40,11:30,SECTION,43,192.168.1.5
74,THURSDAY,11:30,12:20,SECTION,43,192.168.1.5
75,MONDAY,17:40,18:30,SECTION,44,192.168.1.5
76,MONDAY,18:30,19:20,SECTION,44,192.168.1.5
77,TUESDAY,14:00,14:50,SECTION,44,192.168.1.5
78,TUESDAY,14:50,15:40,SECTION,44,192.168.1.5
79,WEDNESDAY,8:50,9:40,SECTION,41,192.168.1.5
80,WEDNESDAY,9:40,10:30,SECTION,41,192.168.1.5
81,THURSDAY,8:50,9:40,SECTION,41,192.168.1.5
82,THURSDAY,9:40,10:30,SECTION,41,192.168.1.5
83,WEDNESDAY,15:50,16:40,SECTION,42,192.168.1.5
84,WEDNESDAY,16:40,17:30,SECTION,42,192.168.1.5
85,THURSDAY,15:50,16:40,SECTION,42,192.168.1.5
86,THURSDAY,16:40,17:30,SECTION,42,192.168.1.5
87,MONDAY,10:40,11:30,SECTION,49,192.168.1.5
88,MONDAY,11:30,12:20,SECTION,49,192.168.1.5
89,TUESDAY,9:40,10:30,SECTION,49,192.168.1.5
90,TUESDAY,10:40,11:30,SECTION,49,192.168.1.5
91,TUESDAY,11:30,12:20,SECTION,49,192.168.1.5
92,MONDAY,12:20,13:10,SECTION,50,192.168.1.5
93,MONDAY,13:10,14:00,SECTION,50,192.168.1.5
94,WEDNESDAY,11:30,12:20,SECTION,50,192.168.1.5
95,WEDNESDAY,12:20,13:10,SECTION,50,192.168.1.5
96,WEDNESDAY,13:10,14:00,SECTION,50,192.168.1.5
97,MONDAY,12:20,13:10,SECTION,45,192.168.1.5
98,MONDAY,13:10,14:00,SECTION,45,192.168.1.5
99,MONDAY,14:00,14:50,SECTION,46,192.168.1.5
100,MONDAY,14:50,15:40,SECTION,46,192.168.1.5
101,MONDAY,7:00,7:50,SECTION,75,192.168.1.6
102,MONDAY,7:50,8:40,SECTION,75,192.168.1.6
103,TUESDAY,9:40,10:30,SECTION,75,192.168.1.6
104,TUESDAY,10:40,11:30,SECTION,75,192.168.1.6
105,THURSDAY,15:50,16:40,SECTION,76,192.168.1.6
106,THURSDAY,16:40,17:30,SECTION,76,192.168.1.6
107,FRIDAY,14:00,14:50,SECTION,76,192.168.1.6
108,FRIDAY,14:50,15:40,SECTION,76,192.168.1.6
109,MONDAY,12:20,13:10,SECTION,71,192.168.1.6
110,MONDAY,13:10,14:00,SECTION,71,192.168.1.6
111,WEDNESDAY,10:40,11:30,SECTION,71,192.168.1.6
112,WEDNESDAY,11:30,12:20,SECTION,71,192.168.1.6
113,WEDNESDAY,15:50,16:40,SECTION,72,192.168.1.6
114,WEDNESDAY,16:40,17:30,SECTION,72,192.168.1.6
115,FRIDAY,15:50,16:40,SECTION,72,192.168.1.6
116,FRIDAY,16:40,17:30,SECTION,72,192.168.1.6
117,WEDNESDAY,12:20,13:10,SECTION,67,192.168.1.6
118,WEDNESDAY,13:10,14:00,SECTION,67,192.168.1.6
119,THURSDAY,12:20,13:10,SECTION,67,192.168.1.6
120,THURSDAY,13:10,14:00,SECTION,67,192.168.1.6
121,WEDNESDAY,14:00,14:50,SECTION,68,192.168.1.6
122,WEDNESDAY,14:50,15:40,SECTION,68,192.168.1.6
123,THURSDAY,14:00,14:50,SECTION,68,192.168.1.6
124,THURSDAY,14:50,15:40,SECTION,68,192.168.1.6
125,MONDAY,10:40,11:30,SECTION,69,192.168.1.6
126,MONDAY,11:30,12:20,SECTION,69,192.168.1.6
127,THURSDAY,8:50,9:40,SECTION,69,192.168.1.6
128,THURSDAY,9:40,10:30,SECTION,69,192.168.1.6
129,MONDAY,15:50,16:40,SECTION,55,192.168.1.6
130,MONDAY,16:40,17:30,SECTION,55,192.168.1.6
131,FRIDAY,7:00,7:50,SECTION,55,192.168.1.6
132,FRIDAY,7:50,8:40,SECTION,55,192.168.1.6
133,TUESDAY,8:50,9:40,SECTION,65,192.168.1.6
134,TUESDAY,11:30,12:20,SECTION,65,192.168.1.6
135,THURSDAY,7:00,7:50,SECTION,65,192.168.1.6
136,THURSDAY,7:50,8:40,SECTION,65,192.168.1.6
137,WEDNESDAY,7:00,7:50,SECTION,73,192.168.1.6
138,WEDNESDAY,7:50,8:40,SECTION,73,192.168.1.6
139,THURSDAY,10:40,11:30,SECTION,73,192.168.1.6
140,THURSDAY,11:30,12:20,SECTION,73,192.168.1.6
141,MONDAY,7:00,7:50,SECTION,89,192.168.1.3
142,MONDAY,7:50,8:40,SECTION,89,192.168.1.3
143,WEDNESDAY,8:50,9:40,SECTION,89,192.168.1.3
144,WEDNESDAY,9:40,10:30,SECTION,89,192.168.1.3
145,FRIDAY,12:20,13:10,SECTION,89,192.168.1.3
146,FRIDAY,13:10,14:00,SECTION,89,192.168.1.3
147,MONDAY,10:40,11:30,SECTION,93,192.168.1.3
148,MONDAY,11:30,12:20,SECTION,93,192.168.1.3
149,THURSDAY,8:50,9:40,SECTION,93,192.168.1.3
150,THURSDAY,9:40,10:30,SECTION,93,192.168.1.3
151,MONDAY,12:20,13:10,SECTION,103,192.168.1.3
152,MONDAY,13:10,14:00,SECTION,103,192.168.1.3
153,WEDNESDAY,7:00,7:50,SECTION,103,192.168.1.3
154,WEDNESDAY,7:50,8:40,SECTION,103,192.168.1.3
155,TUESDAY,8:50,9:40,SECTION,99,192.168.1.3
156,TUESDAY,9:40,10:30,SECTION,99,192.168.1.3
157,TUESDAY,10:40,11:30,SECTION,99,192.168.1.3
158,WEDNESDAY,10:40,11:30,SECTION,95,192.168.1.3
159,WEDNESDAY,11:30,12:20,SECTION,95,192.168.1.3
160,WEDNESDAY,12:20,13:10,SECTION,95,192.168.1.3
161,TUESDAY,11:30,12:20,SECTION,97,192.168.1.3
162,TUESDAY,14:00,14:50,SECTION,98,192.168.1.3
163,THURSDAY,7:00,7:50,SECTION,105,192.168.1.3
164,THURSDAY,7:50,8:40,SECTION,105,192.168.1.3
165,FRIDAY,10:40,11:30,SECTION,105,192.168.1.3
166,FRIDAY,11:30,12:20,SECTION,105,192.168.1.3
167,FRIDAY,7:50,8:40,SECTION,101,192.168.1.3
168,FRIDAY,8:50,9:40,SECTION,101,192.168.1.3
169,FRIDAY,9:40,10:30,SECTION,101,192.168.1.3
170,WEDNESDAY,14:00,14:50,SECTION,102,192.168.1.3
171,WEDNESDAY,14:50,15:40,SECTION,102,192.168.1.3
172,WEDNESDAY,15:50,16:40,SECTION,102,192.168.1.3
173,TUESDAY,12:20,13:10,SECTION,125,192.168.1.7
174,TUESDAY,13:10,14:00,SECTION,125,192.168.1.7
175,WEDNESDAY,12:20,13:10,SECTION,125,192.168.1.7
176,WEDNESDAY,13:10,14:00,SECTION,125,192.168.1.7
177,MONDAY,14:00,14:50,SECTION,127,192.168.1.7
178,MONDAY,14:50,15:40,SECTION,127,192.168.1.7
179,MONDAY,17:40,18:30,SECTION,127,192.168.1.7
180,MONDAY,15:50,16:40,SECTION,135,192.168.1.7
181,MONDAY,16:40,17:30,SECTION,135,192.168.1.7
182,WEDNESDAY,15:50,16:40,SECTION,135,192.168.1.7
183,WEDNESDAY,16:40,17:30,SECTION,135,192.168.1.7
184,TUESDAY,15:50,16:40,SECTION,131,192.168.1.7
185,TUESDAY,16:40,17:30,SECTION,131,192.168.1.7
186,WEDNESDAY,17:40,18:30,SECTION,129,192.168.1.7
187,WEDNESDAY,18:30,19:20,SECTION,129,192.168.1.7
188,THURSDAY,15:50,16:40,SECTION,129,192.168.1.7
189,TUESDAY,14:00,14:50,SECTION,133,192.168.1.7
190,TUESDAY,14:50,15:40,SECTION,133,192.168.1.7
191,TUESDAY,17:40,18:30,SECTION,123,192.168.1.7
192,TUESDAY,18:30,19:20,SECTION,123,192.168.1.7
193,TUESDAY,19:20,20:10,SECTION,123,192.168.1.7
194,WEDNESDAY,14:00,14:50,SECTION,123,192.168.1.7
195,WEDNESDAY,14:50,15:40,SECTION,123,192.168.1.7
196,THURSDAY,11:30,12:20,SECTION,123,192.168.1.7
197,THURSDAY,17:40,18:30,SECTION,123,192.168.1.7
198,THURSDAY,18:30,19:20,SECTION,123,192.168.1.7
199,THURSDAY,19:20,20:10,SECTION,123,192.168.1.7
200,THURSDAY,12:20,13:10,SECTION,124,192.168.1.7
201,THURSDAY,13:10,14:00,SECTION,124,192.168.1.7
202,TUESDAY,17:40,18:30,SECTION,124,192.168.1.6
203,TUESDAY,18:30,19:20,SECTION,124,192.168.1.6
204,TUESDAY,19:20,20:10,SECTION,124,192.168.1.6
205,THURSDAY,11:30,12:20,SECTION,124,192.168.1.3
206,THURSDAY,17:40,18:30,SECTION,124,192.168.1.3
207,THURSDAY,18:30,19:20,SECTION,124,192.168.1.3
208,THURSDAY,19:20,20:10,SECTION,124,192.168.1.3
209,TUESDAY,17:40,18:30,SECTION,126,192.168.1.3
210,TUESDAY,18:30,19:20,SECTION,126,192.168.1.3
211,TUESDAY,19:20,20:10,SECTION,126,192.168.1.3
212,THURSDAY,17:40,18:30,SECTION,126,192.168.1.6
213,THURSDAY,18:30,19:20,SECTION,126,192.168.1.6
214,THURSDAY,19:20,20:10,SECTION,126,192.168.1.6
